epoch,train_loss,train_acc,val_loss,val_acc
1,2.651392786346487,0.7439862542955327,0.5408074471170351,0.7597254004576659
2,0.48494333766170383,0.7769186712485682,0.41147620829346526,0.7551487414187643
3,0.44437362866439906,0.7809278350515464,0.4162998964639223,0.7734553775743707
4,0.42209776850227365,0.7883734249713631,0.4097921954003297,0.7837528604118993
5,0.40890142277207436,0.8061282932416953,0.41447800213739583,0.7951945080091534
6,0.3793003489642072,0.8015463917525774,0.3812122300642306,0.8054919908466819
7,0.36770904091488726,0.8132875143184422,0.39399374151939115,0.8066361556064073
8,0.34390331147599196,0.8373424971363116,0.3890330928550432,0.7986270022883295
9,0.3468459715889628,0.836483390607102,0.4035022293539287,0.816933638443936
10,0.31473051059355306,0.8548109965635738,0.40106036352074664,0.8272311212814645
11,0.27061125417938725,0.8699885452462772,0.4203068321438621,0.8295194508009154
12,0.2691347684374107,0.8748568155784651,0.39526021562397345,0.8466819221967964
13,0.24812316075223417,0.8877434135166093,0.4190791388398177,0.8489702517162472
